scenarioId,representation,conditionName,bandwidthBps,latencyMs,jitterMs,configuredLossRate,burstLossLength,totalMessages,successfulMessages,deliverySuccessRate,observedPacketLossRate,latencyMedianMs,latencyP95Ms,latencyMeanMs,ackMedianMs,ackP95Ms,retransmissionCount,fragmentCount,reassemblySuccessCount,dtnStorageCount,dtnExpiryCount,duplicateSuppressionCount,bytesTransmitted,bytesDelivered,goodputBps,overheadRatio,representationExpansionRatio,contextReconstructionSuccessRate,semanticCorrectnessRate,tacticalSuccessRate,semanticFieldAccuracy,criticalFieldRecall,seed,device
EXP-BURST-BURST_3-COMPACT,COMPACT,BURST_3,-1,0,0,0.0000,3,6,6,1.0000,0.3333,0.00,600.00,200.00,0.00,600.00,6,0,0,0,0,0,594,799,5326.67,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260996,CONTROLLED_SIMULATION
EXP-BURST-BURST_3-SEMANTIC_BASE,SEMANTIC_BASE,BURST_3,-1,0,0,0.0000,3,6,6,1.0000,0.3333,0.00,600.00,100.00,0.00,600.00,2,0,0,0,0,0,240,240,3200.00,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260997,CONTROLLED_SIMULATION
EXP-BURST-BURST_3-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,BURST_3,-1,0,0,0.0000,3,6,6,1.0000,0.2222,0.00,600.00,100.00,0.00,600.00,3,0,0,0,0,0,691,814,10853.33,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260998,CONTROLLED_SIMULATION
EXP-BURST-BURST_3-CONTEXT_DELTA,CONTEXT_DELTA,BURST_3,-1,0,0,0.0000,3,6,6,1.0000,0.3333,0.00,600.00,100.00,0.00,600.00,2,0,0,0,0,0,254,254,3386.67,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260999,CONTROLLED_SIMULATION
EXP-BURST-BURST_5-FULL,FULL,BURST_5,-1,0,0,0.0000,5,6,5,0.8333,0.4000,0.00,200.00,40.00,0.00,200.00,4,0,0,0,0,0,617,617,20566.67,0.3079,1.0000,0.8333,0.6667,0.6667,0.8056,0.8056,20261000,CONTROLLED_SIMULATION
EXP-BURST-BURST_5-COMPACT,COMPACT,BURST_5,-1,0,0,0.0000,5,6,5,0.8333,0.5000,0.00,200.00,40.00,0.00,200.00,3,0,0,0,0,0,594,487,16233.33,0.2811,1.5000,0.8333,0.6667,0.6667,0.7500,0.7500,20261001,CONTROLLED_SIMULATION
EXP-BURST-BURST_5-SEMANTIC_BASE,SEMANTIC_BASE,BURST_5,-1,0,0,0.0000,5,6,5,0.8333,0.5000,0.00,200.00,40.00,0.00,200.00,3,0,0,0,0,0,240,200,6666.67,0.0000,0.6061,0.8333,0.8333,0.8333,0.8333,0.8333,20261002,CONTROLLED_SIMULATION
EXP-BURST-BURST_5-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,BURST_5,-1,0,0,0.0000,5,6,5,0.8333,0.4000,0.00,200.00,40.00,0.00,200.00,4,0,0,0,0,0,691,691,23033.33,0.3821,1.7449,0.8333,0.8333,0.8333,0.8333,0.8333,20261003,CONTROLLED_SIMULATION
EXP-BURST-BURST_5-CONTEXT_DELTA,CONTEXT_DELTA,BURST_5,-1,0,0,0.0000,5,6,5,0.8333,0.5000,0.00,200.00,40.00,0.00,200.00,3,0,0,0,0,0,254,210,7000.00,0.0000,0.6414,0.8333,0.8333,0.8333,0.8333,0.8333,20261004,CONTROLLED_SIMULATION
EXP-BURST-BURST_10-FULL,FULL,BURST_10,-1,0,0,0.0000,10,6,4,0.6667,0.6429,0.00,400.00,100.00,0.00,400.00,8,0,0,0,0,0,617,506,6746.67,0.3079,1.0000,0.6667,0.6667,0.6667,0.6667,0.6667,20261005,CONTROLLED_SIMULATION
EXP-BURST-BURST_10-COMPACT,COMPACT,BURST_10,-1,0,0,0.0000,10,6,4,0.6667,0.5833,0.00,0.00,0.00,0.00,0.00,7,0,0,0,0,0,594,492,0.00,0.2811,1.5000,0.6667,0.5000,0.5000,0.5833,0.5833,20261006,CONTROLLED_SIMULATION
EXP-BURST-BURST_10-SEMANTIC_BASE,SEMANTIC_BASE,BURST_10,-1,0,0,0.0000,10,6,4,0.6667,0.7143,0.00,400.00,100.00,0.00,400.00,7,0,0,0,0,0,240,160,2133.33,0.0000,0.6061,0.6667,0.6667,0.6667,0.6667,0.6667,20261007,CONTROLLED_SIMULATION
EXP-BURST-BURST_10-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,BURST_10,-1,0,0,0.0000,10,6,5,0.8333,0.4444,0.00,0.00,0.00,0.00,0.00,3,0,0,0,0,0,691,573,0.00,0.3821,1.7449,0.8333,0.8333,0.8333,0.8333,0.8333,20261008,CONTROLLED_SIMULATION
EXP-BURST-BURST_10-CONTEXT_DELTA,CONTEXT_DELTA,BURST_10,-1,0,0,0.0000,10,6,4,0.6667,0.6429,0.00,400.00,100.00,0.00,400.00,8,0,0,0,0,0,254,210,2800.00,0.0000,0.6414,0.6667,0.6667,0.6667,0.6667,0.6667,20261009,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_10S-FULL,FULL,OUTAGE_10S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,10000.00,10000.00,10000.00,0.00,0.00,0,0,0,6,0,0,617,617,82.27,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20261010,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_10S-COMPACT,COMPACT,OUTAGE_10S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,10000.00,10000.00,10000.00,0.00,0.00,0,0,0,6,0,0,594,594,79.20,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20261011,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_10S-SEMANTIC_BASE,SEMANTIC_BASE,OUTAGE_10S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,10000.00,10000.00,10000.00,0.00,0.00,0,0,0,6,0,0,240,240,32.00,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20261012,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_10S-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,OUTAGE_10S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,10000.00,10000.00,10000.00,0.00,0.00,0,0,0,6,0,0,691,691,92.13,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20261013,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_10S-CONTEXT_DELTA,CONTEXT_DELTA,OUTAGE_10S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,10000.00,10000.00,10000.00,0.00,0.00,0,0,0,6,0,0,254,254,33.87,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20261014,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_30S-FULL,FULL,OUTAGE_30S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,30000.00,30000.00,30000.00,0.00,0.00,0,0,0,6,0,0,617,617,27.42,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20261015,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_30S-COMPACT,COMPACT,OUTAGE_30S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,30000.00,30000.00,30000.00,0.00,0.00,0,0,0,6,0,0,594,594,26.40,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20261016,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_30S-SEMANTIC_BASE,SEMANTIC_BASE,OUTAGE_30S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,30000.00,30000.00,30000.00,0.00,0.00,0,0,0,6,0,0,240,240,10.67,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20261017,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_30S-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,OUTAGE_30S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,30000.00,30000.00,30000.00,0.00,0.00,0,0,0,6,0,0,691,691,30.71,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20261018,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_30S-CONTEXT_DELTA,CONTEXT_DELTA,OUTAGE_30S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,30000.00,30000.00,30000.00,0.00,0.00,0,0,0,6,0,0,254,254,11.29,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20261019,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_60S-FULL,FULL,OUTAGE_60S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,60000.00,60000.00,60000.00,0.00,0.00,0,0,0,6,0,0,617,617,13.71,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20261020,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_60S-COMPACT,COMPACT,OUTAGE_60S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,60000.00,60000.00,60000.00,0.00,0.00,0,0,0,6,0,0,594,594,13.20,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20261021,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_60S-SEMANTIC_BASE,SEMANTIC_BASE,OUTAGE_60S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,60000.00,60000.00,60000.00,0.00,0.00,0,0,0,6,0,0,240,240,5.33,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20261022,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_60S-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,OUTAGE_60S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,60000.00,60000.00,60000.00,0.00,0.00,0,0,0,6,0,0,691,691,15.36,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20261023,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_60S-CONTEXT_DELTA,CONTEXT_DELTA,OUTAGE_60S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,60000.00,60000.00,60000.00,0.00,0.00,0,0,0,6,0,0,254,254,5.64,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20261024,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_300S-FULL,FULL,OUTAGE_300S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,300000.00,300000.00,300000.00,0.00,0.00,0,0,0,6,0,0,617,617,2.74,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20261025,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_300S-COMPACT,COMPACT,OUTAGE_300S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,300000.00,300000.00,300000.00,0.00,0.00,0,0,0,6,0,0,594,594,2.64,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20261026,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_300S-SEMANTIC_BASE,SEMANTIC_BASE,OUTAGE_300S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,300000.00,300000.00,300000.00,0.00,0.00,0,0,0,6,0,0,240,240,1.07,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20261027,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_300S-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,OUTAGE_300S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,300000.00,300000.00,300000.00,0.00,0.00,0,0,0,6,0,0,691,691,3.07,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20261028,CONTROLLED_SIMULATION
EXP-DTN-OUTAGE_300S-CONTEXT_DELTA,CONTEXT_DELTA,OUTAGE_300S,-1,0,0,0.0000,0,6,6,1.0000,0.0000,300000.00,300000.00,300000.00,0.00,0.00,0,0,0,6,0,0,254,254,1.13,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20261029,CONTROLLED_SIMULATION
